"path","qualified_name","line","end_line","kind","source_sha256","disposition"
"deploy/oracle_setup.sh","fail","22","22","shell_function","bb14c98c2906ed85027f0373136d62c775f328c26a6cc7197cd7ab59aef16b0d","PRESERVE_AND_REGRESSION_TEST"
"deploy/oracle_setup.sh","as_root","23","23","shell_function","bb14c98c2906ed85027f0373136d62c775f328c26a6cc7197cd7ab59aef16b0d","PRESERVE_AND_REGRESSION_TEST"
"deploy/oracle_setup.sh","cleanup_sudoers","241","241","shell_function","bb14c98c2906ed85027f0373136d62c775f328c26a6cc7197cd7ab59aef16b0d","PRESERVE_AND_REGRESSION_TEST"
"deploy/verify_stack_identity.py","file_sha256","28","33","function","847e6a61274a87cef079878e55b0213bab33a2dfca5cce72010e4697cf66c27f","PRESERVE_AND_REGRESSION_TEST"
"deploy/verify_stack_identity.py","_env_map","36","42","function","11c4462bf633cbeb8587a2b2c3e5c4bfbc154da452a45f8d8badc98dc6aa9dac","PRESERVE_AND_REGRESSION_TEST"
"deploy/verify_stack_identity.py","validate_snapshot","45","102","function","82584dcbbbcac014465241b17aa56cd7104f4cb4fa8db621937739af7660f036","PRESERVE_AND_REGRESSION_TEST"
"deploy/verify_stack_identity.py","_run","105","121","function","ac535cb92e8b0dc994b7625114285582d0b04341e6f33c282acf6662831d89cf","PRESERVE_AND_REGRESSION_TEST"
"deploy/verify_stack_identity.py","verify","124","194","function","0619bcb845f6db1a64ff2f1237c4444cd2604d108447221f275e7c17489d81c6","PRESERVE_AND_REGRESSION_TEST"
"deploy/verify_stack_identity.py","parser","197","206","function","8e07a3423ecbd915324c2d8505e23011458f729e9903484a6c38b88b30e29f01","PRESERVE_AND_REGRESSION_TEST"
"deploy/verify_stack_identity.py","main","209","216","function","e8106aa1261327ab78ac5bea5534d90505c18517005d767a6f0084509cc30f27","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy.protections","82","99","function","f4803fad5becad09969321b4b4efa81c3ae0c783e0bd093df119bc72aa0e68f2","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy._active_pair_path","108","109","function","9675062ada2bebe7ac97870a85ab9f7a9a0d88a366b867d491f76a8a3170d86c","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy._active_pair_state","111","135","function","e1b49b5e929321ffec3f4ac5dfa18fec6bff9956bd3e766f7eacb46f106b8ffe","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy._is_active_pair","137","142","function","c51e5e343ce184ca4ac31e38ca9d83dff5042b0cb96a13bf9e55832a03079127","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy._emit_signal","144","188","function","cc3c5312fe9caf0307aa2c11e8314b04f51f90b6f051675046cf02512c655558","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy._seam_error","193","201","function","e19384cdc54d686f22a2506714c93a5b9b77ccede6c6c96570264446645981e6","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy._seam_heartbeat","203","223","function","02716a39b7c1f31052345ffd4786ef9d03913a57d2cb76d3fd92da283386adeb","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy._runmode_value","225","227","function","6b169741e87b7c416a00ba92be65d76ab68e12b46a0b40ab4c54981abccd5a72","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy.bot_loop_start","229","261","function","9b4d0ff3bc71088d59a01a980599fcbd65979f053e80b00208f1dd505fcecf37","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy.bot_start","263","264","function","63d1e9b62fd76377facbb293bf05c1593b59e8d7d247569cce3640f0437e2abd","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy.confirm_trade_entry","266","276","function","932bc6f7696c0c2bac5f33e0301b5a439f440adc8f096c8ae325c523238c0740","PRESERVE_AND_REGRESSION_TEST"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy.populate_indicators_5m","280","289","function","1bd1bac05c7e4ad85f4a56a33c0607eddb4172d5274e48416e2c0e7b0fb08f18","FINGERPRINT_PROTECTED"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy.populate_indicators","292","321","function","3e514b5bbf40a8ab3ec26d9ded5a0118192608be7bcd30a103b201e6197362c1","FINGERPRINT_PROTECTED"
"freqtrade/user_data/strategies/IctSmcStrategy.py","IctSmcStrategy.populate_entry_trend","323","349","function","86577ed448af74fd06bfe1a9a82306319fd16f193a78b2045e4888391ce2ca82","FINGERPRINT_PROTECTED"
